"The payment is AUTHORIZED by Mozg.","O pagamento foi AUTORIZADO pela Mozg."
"There has an error occurred with your Mozg payment.","Houve um erro com seu pagamento Mozg."
"There was an error with your payment.","Houve um erro com seu pagamento."
"You will be redirected to Mozg website when you place an order.","Você será redirecionado ao site do Bradesco quando realizar a compra."
"Your payment is cancelled.","Seu pagamento foi cancelado."
"Your payment is CANCELLED","Seu pagamento foi CANCELADO."
"Your payment is pending.","Seu pagamento encontra-se pendente."
"Your payment is refused.","Seu pagamento foi recusado."
"Your payment is authorized.","Seu pagamento foi autorizado."
"Remember these details","Armazenar estes dados"
"Choose Your Bank","Escolha seu banco"
"You chose an invalid bank","Você escolheu um banco inválido"
"You have cancelled the order. Please try again", "Você cancelou a compra. Por favor, tente novamente."
"Bank account holder name","Banco nome do titular da conta"
"IBAN","IBAN"
"I agree that the above amount will be debited from my bank account.", "Concordo que o montante acima referido será debitado da minha conta bancária."
"Invalid Iban number.","Iban número inválido."
"POS Payment","O pagamento POS"
"Payment","Pagamento"
"If you stuck on this page please press the payment button","Se você estiver preso nesta página, por favor pressione o botão de pagamento"
"Click here to pay for your purchase", "Clique aqui para pagar por sua compra"
"Please accept the conditions for a SEPA direct debit.", "Por favor, aceite as condições para um débito direto SEPA."
"Shopper Details", "Detalhes do comprador"
"Save Card", "Salvar cartão"
"There are no saved cards for this account.", "Não há cartões guardados para essa conta."
"This is a new Customer", "Este é um novo cliente"
"You will be redirected to Mozg app when you place an order.", "Você será redirecionado ao app da Mozg quando realizar a compra."
"Boleto PDF: <a target=""_blank"" href=""%s"">Download</a>", "<b>Boleto:</b> <a target=""_blank"" href=""%s"">Visualizar</a>"
"Bradesco PSP Reference: <a href=""%s"" target=""_blank"">%s</a>","<b>Consultar:</b> <a href=""%s"" target=""_blank"">%s</a>"
"Bradesco PSP Reference: <a href=""%s"">%s</a>","<b>Consultar:</b> <a href=""%s"">%s</a>"
"Firstname", "Nome"
"Lastname", "Sobrenome"
"Social Security Number", "CPF/CNPJ"
"If you are using Mozg CreditCard payment method it could be that the notifcation that is send from the Mozg Platform is faster then Magento saves the order. The notification is saved and when a new notification is send it will try to update the previous notification as well. You can see here what notifications did not processed yet and you can proccess it here manual if you want to by selecting ""Execute"" under the Actions column","Aqui é exibido as notificações a serem processada. Você pode ver aqui que as notificações ainda não foram processadas e você pode proccessa-las aqui de forma manual se você desejar, selecionando ""Executar"" na coluna Ações"
"<a href=""%s"">Click here to download the Boleto payment PDF</a>","<a href=""%s"">Clique aqui para visualizar o Boleto</a>"
"<a href=""%s"">Click here to process the EletronicTransfer payment</a>","<a href=""%s"">Clique aqui para processar a transferência eletrônica</a>"
"Social Security Number: %s","<b>Documento:</b> %s"
"CPF_Firstname: %s", "<b>Nome:</b> %s"
"CPF_Lastname: %s", "<b>Sobrenome:</b> %s"
"CNPJ_Firstname: %s", "<b>Razão Social:</b> %s"
"CNPJ_Lastname: %s", "<b>Nome Fantasia:</b> %s"
"Authenticate","Autenticar"
"EletronicTransfer PDF: <a target=""_blank"" href=""%s"">Download</a>","Transferência Eletrônica: <a target=""_blank"" href=""%s"">Visualizar</a>"
"Payment URL: <a target=""_blank"" href=""%s"">Download</a>","Boleto: <a target=""_blank"" href=""%s"">Visualizar</a>"
"Bradesco Default Settings","Bradesco ShopFácil - Configurações Padrão"
"Required Settings","Configurações necessárias"
"Merchant ID Test","Merchant ID para o ambiente de teste"
"Merchant Key Test","Chave de Segurança para o ambiente de teste"
"Merchant ID Production","Merchant ID para o ambiente de produção"
"Merchant Key Production","Chave de Segurança para o ambiente de produção"
"Capture Delay","Tipo de Captura"
"Order status: order creation","Status do pedido: ordem de criação"
"Order status: payment authorisation","Status do pedido: autorização de pagamento"
"Order status: payment confirmed","Status do pedido: pagamento confirmado"
"Order status: order cancellation","Status do pedido: cancelamento de pedido"
"Enable debug logging","Ativar log de depuração"
"Advanced: Magento Order Processing","Avançado: Processamento de Pedidos Magento"
"Order status: payment capture (virtual products)","Status do pedido: captura de pagamento (produtos virtuais)"
"Order status: Mozg Refunded","Status do pedido: Reembolsado"
"Order status: Mozg partial Refunded","Status do pedido: Reembolsado Parcial"
"Order status: pending orders","Status do pedido: pedidos pendentes"
"Create a pending invoice (only for manual capture)","Criar uma fatura pendente (apenas para captura manual)"
"Order status: Capture on shipment","Status do pedido: Capturar no embarque"
"Enable Uncancel Order","Ativar Descancelar pedido"
"Automatic cancel\refund when a order is canceled","Cancelamento\Reembolso automático quando o pedido é cancelado"
"Invoice email","E-mail da fatura"
"Customers receive order status update email (deprecated).","Enviar e-mail de notificação do status do pedido."
"Advanced: Mozg Bradesco Notifications","Avançado: Bradesco Notificações"
"Ignore refund notification","Ignorar notificação de reembolso"
"Advanced: Billing Agreements","Avançado: contratos de faturamento"
"<p><strong>ONECLICK</strong>: The shopper opts in to storing their card details for future use. The shopper is present for the subsequent transaction, for cards the security code (CVC/CVV) is required.</p><p><strong>RECURRING*</strong>: Payment details are stored for future use. For cards, the security code (CVC/CVV) is not required for subsequent payments.</p><p><strong>ONECLICK, RECURRING*</strong>: Payment details are stored for future use. This allows the use of the stored payment details regardless of whether the shopper is on your site or not.</p>","<p><strong>ONECLICK</strong>: o cliente opta por armazenar os detalhes do cartão para uso futuro. O cliente está presente para a transação subseqüente, para cartões o código de segurança (CVC / CVV) é necessário.</p><p><strong>RECURRING*</strong>: Os detalhes de pagamento são armazenados para uso futuro. Para os cartões, o código de segurança (CVC / CVV) não é necessário para pagamentos subseqüentes.</p><p><strong>ONECLICK,RECURRING*</strong>: Os detalhes de pagamento são armazenados para uso futuro. Isso permite o uso dos detalhes de pagamento armazenados independentemente de o comprador estar ou não no seu site.</p>"
"Agreement Type","Tipo de Contrato"
"Advanced: Checkout Experience","Avançao: Experiência de Checkout"
"Redirect destination after cancellation","Redirecionar o destino após o cancelamento"
"Payment method render method","Método de pagamento método de renderização"
"Language locale (optional)","Idioma local (opcional)"
"ISO Country Code (optional)","Código do país ISO (opcional)"
"Advanced: Manual Review","Avançado: Revisão manual"
"<p>Mozg's Risk analysis tool allows merchants to configure when a transaction should be rejected or accepted depending on certain characteristics of the payment. This process has always had two automatic outcomes, either accept or reject the payment. Now, Mozg's risk system can tell merchants when a transaction seems to be risky but without rejecting it, and requires to be manually reviewed in order to decide if it should be accepted or rejected.</p>","<p>A ferramenta de análise de risco da operadora permite que os comerciantes configurem quando uma transação deve ser rejeitada ou aceita dependendo de certas características do pagamento. Este processo sempre teve dois resultados automáticos, quer aceitar ou rejeitar o pagamento. Agora, o sistema de risco da operadora pode dizer aos comerciantes quando uma transação parece ser arriscada, mas sem rejeitá-la, e exige ser revisado manualmente para decidir se deve ser aceito ou rejeitado.</p>"
"Manual Review Status","Status da revisão manual"
"Manual Review Accepted Status","Revisão Manual Status Aceito"
"Advanced: Split Payments","Avançado: Dividir Pagamentos"
"<p>It is possible to do split payments with GiftCards please configure here what refund strategie you want to use</p>","<p>É possível fazer pagamentos divididos com GiftCards, por favor configure aqui qual estratégia de reembolso você deseja usar</p>"
"Refund Strategy","Estratégia de reembolso"
"Bradesco Credit Card","Cartão de Crédito Bradesco"
"Bradesco Debit Card","Cartão de Débito Bradesco"
"Enabled","Ativo"
"Title","Título"
"Sort Order","Ordem de classificação"
"Payment from applicable countries","Pagamentos aplicáveis aos países"
"Payment from specific countries","Pagamentos específicos aos países"
"Credit Card Types","Tipos de Cartão de Crédito"
"Debit Card Types","Tipos de Cartão de Débito"
"Visible in","Visível em"
"In the test mode you must use test cards.","No modo de teste, você deve usar cartões de teste."
"Automatic cancel\refund when a order is canceled","Ativar / Desativar reembolso automático ao cancelar um pedido"
"Currency","Moeda"
"Amount (incl.)","Montante (incl.)"
"Amount (incl.)","Montante (incl.)"
"Maximum Number of Installments","Número máximo de parcelas"
"Interest Rate (%)","Taxa de juros (%) 0.0"
"Set the sequence number of this payment method in the checkout. Payment methods with a higher sort order number will be displayed lower in the list.","Defina o número de seqüência desse método de pagamento na caixa. Os métodos de pagamento com um número de ordem de classificação mais elevado serão exibidos mais abaixo na lista."
"Enable MOTO 'Mail Order / Telephone Order' for backend orders","Ativar 'pedidos por e-mail / telefone' para pedidos de back-end"
"Enable Installments","Ativar Parcelamentos"
"Installments default","Parcelas padrão"
"Installments For American Express","Parcelas para American Express"
"Installments For Visa","Parcelas para Visa"
"Installments For Master Card","Parcelas para Master Card"
"Installments For Discover","Parcelas para Discover"
"Installments For Diners Club","Parcelas para Diners Club"
"Installments For Maestro","Parcelas para Maestro"
"Installments For JCB","Parcelas para JCB"
"Installments For Elo","Parcelas para Elo"
"Installments For Hipercard","Parcelas para Hipercard"
"Disable at zero grand total","Desativar em total geral zero"
"Days for Delivery","Dias para entrega"
"Boleto Types","Tipos de Boleto"
"Boleto Type","Tipo de Boleto"
"Use taxvat for CPF or CNPJ","Usar taxvat para CPF ou CNPJ"
"Order status underpaid","Status do pedido não pago"
"Order status overpaid","Status do pedido pago em excesso"
"Bradesco EletronicTransfer","Transferência Eletrônica Bradesco"
"Bradesco Boleto","Boleto Bradesco"
"EletronicTransfer Types","Tipos de Transferência Eletrônica"
"EletronicTransfer Type","Tipo de Transferência Eletrônica"
"Mozg Bradesco Notification Queue","Fila de notificação Bradesco"
"Installments","Parcelas"
"Received","Recebido"
"Authorised","Autorizado"
"Mozg Result URL Notification(s):","Resultado da URL de Notificações:"
"%s <br /> authResult: %s <br /> pspReference: %s <br /> paymentMethod: %s","%s <br /> Resultado do pagamento: %s <br /> Referência do pagamento: %s <br /> Método de pagamento: %s"
"%s <br /> authResult: %s <br /> pspReference: %s <br /> %s","%s <br /> Resultado do pagamento: %s <br /> Referência do pagamento: %s <br /> %s"
"Mozg HTTP Notification(s):","Notificações HTTP:"
"<br /> amount value: ","<br /> Valor: "
"%s <br /> eventCode: %s <br /> pspReference: %s <br /> paymentMethod: %s <br /> success: %s %s %s %s","%s <br /> Código do evento: %s <br /> Referência do pagamento: %s <br /> Método de pagamento: %s <br /> Sucesso: %s %s %s %s"
"Payment is pre authorised waiting for capture","O pagamento é pré autorizado à espera de captura"
"Mozg Bradesco Successfully completed","Bradesco Completado com sucesso"
"More information about Boleto Bradesco","Mais informações sobre o Boleto Bradesco"
"More information about Eletronic Transfer Bradesco","Mais informações sobre a Transferência eletrônica Bradesco"
"RedirectShopper","REDIRECIONADOR"
"Cancelled","CANCELADO"
"Refused","RECUSADO"
"Authorised","AUTORIZADO"
"Received","RECEBIDO"
"AUTHORISATION","AUTORIZAÇÃO"
"PENDING","PENDENTE"
"Installments: %s","Parcelas: %s"
"Not Authorized","Não autorizado"
"Test Mode","Modo de Teste"
"Production Mode","Modo de Produção"
"Authorisation code: %s","Código de autorização: %s"
"NotFinished","Não Finalizado"
"Authorized","Autorizado"
"PaymentConfirmed","Pagamento Confirmado"
"Denied","Negado"
"Voided","Anulado"
"Refunded","Reembolsado"
"Pending","Pendente"
"Aborted","Abortado"
"Scheduled","Agendado"
"[capture-received]","[Captura recebida]"
"[cancelOrRefund-received] ","[Cancelamento ou Reembolso]"
"Click here to process transaction","Clique aqui para processar a transação"
"Transaction Status: %s","<b>Status da Transação:</b> %s"
"Query Error: %s","<b>Erro na consulta:</b> %s"
"Instructions: %s","<b>Instruções:</b> %s"
"Do not perform a full authorisation, only a zero auth to check if the card is valid","Não execute uma autorização completa, apenas uma autenticação zero para verificar se o cartão é válido"
"Enable Unhold Order","Ativar retenção para o pedido"
